50	25																							
132689	375761	75188	56729	381578	462896	35692	460411	243282	457236	172417	520783	417660	305146	166004	56963	429963	119768	414167	492232	13385	136697	279171	261190	317820
515876	95536	440459	2094	221133	132366	108649	405005	98598	39018	346825	150105	304789	353494	270730	333891	7693	356860	226690	213967	200451	308707	205127	103258	130023
142899	13503	266511	356619	126883	484079	5875	412878	166869	285811	325150	425984	438575	426529	345651	360038	5248	276195	188779	100968	57813	56039	360856	287175	213425
183860	73858	311408	186354	477857	201236	3486	313390	334718	452133	323380	427054	283351	215349	328887	51171	182110	11321	99244	349603	405926	227432	89381	461446	444139
115677	183067	475333	476522	321239	456511	452340	454205	252504	108037	85751	169804	37879	62859	494899	56014	47722	1937	16740	461992	267939	127503	78032	377544	261727
17227	502428	354797	244639	56846	42718	22674	259166	207039	173140	264400	36709	378896	435986	125691	77311	311886	260772	163416	236817	306476	301111	431307	469036	430754
273950	289847	374470	265937	12727	83593	166006	512509	300470	18509	231040	21448	184853	105853	226581	290698	308243	146734	340397	311431	151960	164700	317210	15300	368792
381026	346117	182200	181186	235063	268110	490355	392215	31530	58932	147086	135919	476	420649	426027	225828	434564	394727	76255	363305	22946	67435	243320	414112	409279
7380	78438	506163	183284	145389	320797	357345	358422	49938	247806	211030	422533	490169	175313	466156	203083	154878	227695	275368	11606	462576	96969	488500	176032	151579
138936	249144	108931	160399	51779	331002	109280	281425	153146	376860	40957	239269	273503	174502	203247	5853	441803	417234	30612	214852	3822	4785	66305	63589	401017
239442	222916	201913	151385	58372	96037	72872	76985	79262	37372	136083	35721	11527	313528	485329	129178	418656	213829	185364	234304	27336	267440	208861	469531	183070
491080	467373	237793	19060	90664	184125	14218	421865	389927	115587	236981	448589	130708	121354	133433	271553	91528	447495	131161	149516	486550	454705	439724	132122	539
49448	279545	206882	272264	281062	38380	388199	510348	182110	372079	291006	262533	418063	455692	309143	222693	290493	73977	239426	97049	294626	440629	208759	461048	274954
419716	204189	83313	58418	163228	29465	461555	422753	33872	374782	105822	72436	121858	217149	270942	77737	400528	317390	48942	464641	147963	296095	66986	38773	207965
197118	91429	307797	27791	324055	286113	263311	215762	250177	380747	199947	79209	66046	79483	52842	175803	456321	64877	507013	323338	313186	214222	52245	279205	237630
397268	194038	213520	459214	444397	88773	31787	416629	116076	197410	117234	464474	519861	356042	231808	341282	418733	34544	447359	123126	143091	423263	41580	469097	36352
138975	74090	491139	475371	278462	84188	261748	201874	486375	160049	10406	338688	301410	27199	11103	405589	195869	62838	237981	162979	9389	494778	502861	500806	370020
67932	350867	221174	36021	291731	165080	510671	187346	457036	60503	53583	157448	189667	303986	472411	385166	330004	118820	477535	514736	61204	217917	204487	122945	122343
249079	464101	469433	233724	144114	25864	270475	41539	367549	301090	453827	216519	508963	83520	516580	184150	18205	239389	465693	206055	7574	239433	376725	388731	326021
53524	474738	364968	449912	475287	518519	351415	96271	366718	522778	521834	5940	232178	89765	141946	286677	482743	386494	177033	512357	218397	15999	515987	448172	447732
385693	75302	12595	155152	420805	267548	299234	241109	178136	485929	23264	92075	142337	16074	332947	239671	322176	494794	31527	439062	283980	397746	132327	48163	383768
247525	106830	449754	260495	384860	232813	416357	176720	284974	342908	74880	392196	353225	219485	260134	181734	286297	348846	80005	31980	107511	268112	240333	381014	2707
359049	257300	226153	93325	453975	159272	62562	22606	114100	155078	274515	213288	400100	212792	59470	176661	108770	221114	83944	290641	383728	365736	274750	488935	16642
198013	214516	285680	81161	361441	360057	106154	482293	485745	376699	434301	131824	165302	109276	47824	153666	225832	342355	105840	166254	419816	449729	346442	20962	493141
249184	153193	331008	394894	217058	380959	296068	47274	356012	449478	389385	215515	212365	206196	371739	189037	394619	75460	174380	515341	89649	296600	121652	309944	386477
150762	275368	360081	110776	269420	459309	287133	257811	182728	513040	290347	351997	36114	497100	273614	200942	272894	46740	56475	514706	491281	344716	189501	381047	76998
145192	296496	250125	186438	270868	85437	491238	64267	35911	499277	374806	160174	41735	77585	270142	237745	506814	256868	318892	70723	479176	107527	477506	420079	503350
149350	353660	451009	389879	371785	280129	473271	499710	249373	294684	359688	239694	362824	243570	163971	119662	173089	264930	355766	108621	354221	383621	315290	398671	312861
134380	416858	477435	327484	152269	15553	523474	50476	195601	390892	393803	375521	388127	57096	514188	72479	250570	152471	16767	338505	212384	18372	163547	341681	208298
261215	26822	99775	403206	285379	124066	116294	50834	177520	501945	358341	307799	198707	365244	288711	201175	157456	415039	17336	243764	324441	73532	45812	111565	444556
260505	310446	399872	93168	427669	16980	249522	185977	213899	347917	276143	343076	289905	6778	230986	68463	234837	454773	169067	36995	45587	458688	475454	165500	313419
272947	285676	86835	363658	108514	89100	42848	395572	317934	428110	489361	128374	376693	303549	126123	149677	178767	101961	318922	461969	229941	507167	395358	25126	305283
324284	284697	446699	275747	98258	403687	328018	6178	333769	280422	263556	11177	202754	341719	45746	147848	78493	269328	511118	157381	234757	218085	217924	304761	348877
153449	166919	212415	198348	408116	250581	272601	68329	369730	447162	365653	114424	152939	235332	145707	6341	19079	12710	475974	508625	215988	366281	392220	389362	191402
71273	305171	138249	425283	511077	244511	356417	296632	453718	386093	96595	63062	12232	32069	228692	158888	81357	191062	54882	233155	506027	24443	85955	382544	286313
191192	509251	179	1286	381499	408054	256581	134852	411107	87166	14709	163021	331736	497011	87879	330022	81433	114795	151158	489362	430349	126971	457005	480384	358450
511452	338962	509332	321624	276201	306969	265870	80236	122637	221163	369578	40894	135585	340801	254372	155928	131727	237394	59959	130209	75983	343761	388727	181379	114421
99630	175166	194356	433646	10322	321689	515920	460202	66416	129702	354881	278117	323630	20682	175270	359746	447350	282565	409611	482921	89265	392319	485044	93010	448648
1025	28240	405899	417103	272097	49076	449146	291884	20754	310433	402426	461428	521865	308725	469499	122410	464401	260212	371756	173304	138839	192921	138126	31207	445550
249156	166674	408645	480334	479501	395625	366465	477520	330606	228132	430870	377417	345569	189759	407691	334775	501170	223477	437891	418812	468612	191147	479506	21891	201141
350414	426198	383049	464377	10029	368989	389815	338681	37655	164333	77201	74891	314750	36866	470709	19409	39331	509673	107483	83278	124083	386596	431068	361368	329697
433196	234859	481434	311676	448100	282419	150688	451537	169381	166775	325894	118577	215779	333641	51999	305091	321029	519266	150228	433607	194358	306943	225019	140159	144458
46516	162399	118602	191869	231920	358421	297317	186940	207136	498329	399706	396887	100016	247268	319021	138495	418180	293062	283342	405193	48452	236794	66686	224228	201403
273432	152001	66941	297767	4108	326088	314227	138993	405976	12	480090	291451	243980	329385	61442	269645	376177	413798	169633	422176	101140	414790	218213	250528	295214
446587	402594	382067	520392	249980	310111	389944	141951	381383	179306	256456	126378	45092	487409	419533	6156	83270	71502	314446	248865	329559	9699	261064	137113	329009
107744	259593	56762	396494	491653	232600	485276	113194	62565	137957	84819	195246	146355	446650	195117	185250	304383	158595	19007	152355	397368	473325	492304	140897	474629
18984	429180	25710	98528	117500	256914	460401	166488	263674	461294	391516	8706	141448	370606	309951	193175	241208	463901	250726	360040	288900	439865	481773	447044	386348
70494	140480	27392	350286	329257	326926	434225	466243	89880	356302	178601	74191	106431	32703	179989	94286	219736	253168	418469	514948	136510	397193	240549	33918	191
498470	192039	483497	95946	377816	347695	340484	225941	501460	393553	343828	193058	231853	323540	131401	330172	84378	306592	61440	61147	447678	104784	333718	78874	190550
418901	334622	113114	343664	85680	484360	491278	398630	49379	267954	15148	16769	104122	340162	403335	336739	327072	323290	230662	93438	125498	126210	166695	244101	17724
																								
																								
																								
																								
																								
